movie_id,title,genres,genre_ids,release_year,release_date,runtime,rating,vote_count,popularity,overview,poster_path,backdrop_path,original_language,original_title,adult,video
TMDB1497970,Tom and Jerry: Forbidden Compass,Animation|Comedy|Family|Fantasy|Adventure,"16, 35, 10751, 14, 12",2025,2025-08-02,0,5.763,19,42.381,"The iconic cat-and-mouse duo accidentally travel through time in a museum. Along their journey, they meet a group of intriguing new companions and become involved in a final showdown with mysterious forces.",/5qttWFjsO62k88civZaDMHiBTvy.jpg,/daVBzTiyRs4a7vf4SnBoeqJtwRy.jpg,zh,猫和老鼠：星盘奇缘,False,False
TMDB1236470,The Lost Bus,Drama|Thriller,"18, 53",2025,2025-09-19,0,7.066,648,7.9347,A determined father risks everything to rescue a dedicated teacher and her students from a raging wildfire.,/zpygCOYY1DPBkeUsrrznLRN5js5.jpg,/sd7TDuXcOeMXvH7wXXacilARStk.jpg,en,The Lost Bus,False,False
TMDB1214931,Nuremberg,History|Drama,"36, 18",2025,2025-11-06,0,7.33,676,23.3667,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",/7cWTGH2svfNHWVRjsfKIBob9pDj.jpg,/bf5TG9RODkPXmtJSgf8Iymof1wl.jpg,en,Nuremberg,False,False
TMDB1233069,Exterritorial,Thriller|Action,"53, 28",2025,2025-04-29,0,6.604,628,7.9097,"When her son vanishes inside a US consulate, ex-special forces soldier Sara does everything in her power to find him — and uncovers a dark conspiracy.",/micQGmD3K7Ni0wzyaSgBKGxrFWn.jpg,/14UFWFJsGeInCbhTiehRLTff4Yx.jpg,de,Exterritorial,False,False
TMDB1125257,Freakier Friday,Comedy|Fantasy|Family|Romance,"35, 14, 10751, 10749",2025,2025-08-06,0,6.859,627,7.0101,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",/9wV65OmsjLAqBfDnYTkMPutXH8j.jpg,/yQy9Y3p5INwkfTuHSnzYnz4MCV3.jpg,en,Freakier Friday,False,False
TMDB1156594,Our Fault,Romance|Drama,"10749, 18",2025,2025-10-15,0,7.365,625,23.797,"Jenna and Lion's wedding brings about the long-awaited reunion between Noah and Nick after their breakup. Nick's inability to forgive Noah stands as an insurmountable barrier. He, heir to his grandfather's businesses, and she, starting her professional life, resist fueling a flame that's still alive. But now that their paths have crossed again, will love be stronger than resentment?",/yzqHt4m1SeY9FbPrfZ0C2Hi9x1s.jpg,/srk5NlOnpEsd0hxVFiHfhtQtfDe.jpg,es,Culpa nuestra,False,False
TMDB1124566,Sentimental Value,Drama,18,2025,2025-08-20,0,7.56,658,23.9429,"Sisters Nora and Agnes reunite with their estranged father, the charismatic Gustav, a once-renowned director who offers stage actress Nora a role in what he hopes will be his comeback film. When Nora turns it down, she soon discovers he has given her part to an eager young Hollywood star.",/pz9NCWxxOk3o0W3v1Zkhawrwb4i.jpg,/mXlDBIHh9hBkDCMNazGV2fEPr5J.jpg,no,Affeksjonsverdi,False,False
TMDB1197137,Black Phone 2,Horror|Thriller,"27, 53",2025,2025-10-15,0,6.7,947,15.287,"Four years after defeating The Grabber, Finney Blake is struggling with life after captivity. When his younger sister Gwen begins receiving calls in her dreams from the Black Phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",/gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg,/6zKjoOOb3OZnZuiHtQZn4Kd69Gq.jpg,en,Black Phone 2,False,False
TMDB858024,Hamnet,Drama|Romance|History,"18, 10749, 36",2025,2025-11-26,0,7.729,940,51.6784,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg,/73BClq9FOcrWrutnpiqhCNEWEwJ.jpg,en,Hamnet,False,False
TMDB1246049,Dracula,Horror|Fantasy|Romance,"27, 14, 10749",2025,2025-07-30,0,7.126,933,34.1263,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.",/libhghrUSBSEdHgF9uP1SQES0nQ.jpg,/be5SIsRGMckO8tU9lrLcIik70Dy.jpg,fr,Dracula,False,False
